Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
преподавать,2364,teach,V,A2,LM,1,преподавать,Inf,Катя решила преподавать русский язык в школе.,Katya decided to teach Russian at school.,_,учёба/работа
преподавать,2365,teach,V,A2,LM,2,преподаёт,Sing.3.Pres/Fut,Мой папа преподаёт философию в университете.,My father teaches philosophy at university.,_,учёба/работа
преподавать,2366,teach,V,A2,LM,3,преподают,Plur.3.Pres/Fut,Мои родители преподают математику в школе.,My parents teach mathematics at school.,_,учёба/работа
пригласить,2367,invite,V,A2,MiP,1,пригласил,Masc.Sing.Past,Сергей пригласил Марию в ресторан.,Sergey invited Maria to the restaurant.,_,"люди, общение, свободное время"
пригласить,2368,invite,V,A2,MiP,2,пригласили,Plur.Past,Мои друзья пригласили меня в кино в эту пятницу.,My friends invited me to the cinema on Friday.,_,"люди, общение, свободное время"
пригласить,2369,invite,V,A2,MiP,3,пригласить,Inf,Могу ли я пригласить Вас на танец?,Can I ask you for a dance?,_,"люди, общение, свободное время"
приглашать,2370,invite,V,A2,"Golosa, MiP, LM",1,приглашали,Plur.Past,Зачем он пришёл? Мы его не приглашали!,Why did he come? We didn’t invite him!,_,"люди, общение, свободное время"
приглашать,2371,invite,V,A2,"Golosa, MiP, LM",2,приглашаю,Sing.1.Pres/Fut,Я приглашаю Вас на балет в эту субботу.,I invite you to the ballet this Saturday.,_,"люди, общение, свободное время"
приглашать,2372,invite,V,A2,"Golosa, MiP, LM",3,приглашал,Masc.Sing.Past,Петя каждый год приглашал меня на свой день рождения.,Petya invited me to his birthday every year.,_,"люди, общение, свободное время"
приезд,2373,arrival,N.Masc.Inan,A2,"Golosa, LM",1,приезду,Dat.Sing,Мои дети всегда радуются приезду гостей в наш дом.,My children are always happy when we have guests in our house.,_,"путешествие, транспорт"
приезд,2374,arrival,N.Masc.Inan,A2,"Golosa, LM",2,приезде,Loc.Sing,Напишите мне по приезде в Милан.,Write me upon your arrival to Milan.,_,"путешествие, транспорт"
приезд,2375,arrival,N.Masc.Inan,A2,"Golosa, LM",3,приезда,Gen.Sing,Я так ждал вашего приезда!,I was waiting so much for you to come!,_,"путешествие, транспорт"
прийти,2376,come,V,A2,MiP,1,пришёл,Masc.Sing.Past,Вася вчера не пришёл на лекцию. С ним всё в порядке?,Vasya was absent on yesterday’s lecture. Is everything fine with him?,_,"люди, свободное время"
прийти,2377,come,V,A2,MiP,2,пришла,Fem.Sing.Past,Во сколько ты вчера пришла домой?,When did you come home yesterday?,_,"люди, свободное время"
прийти,2378,come,V,A2,MiP,3,пришли,Plur.Past,Мы пришли на йогу слишком поздно — все уже начали заниматься.,We came to yoga class too late — everybody already started practicing.,_,"люди, свободное время"
пример,2379,example,N.Masc.Inan,A2,LM,1,примеру,Dat.Sing,"Какие фильмы вам нравятся? Мне, к примеру, драмы.","Which movies do you like? I like dramas, for example.",_,учёба/работа
пример,2380,example,N.Masc.Inan,A2,LM,2,пример,Nom.Sing,Картины Энди Уорхола — яркий пример поп-арта.,Andy Warhol's paintings are a vivid example of pop art.,_,учёба/работа
пример,2381,example,N.Masc.Inan,A2,LM,3,примере,Loc.Sing,Я убедился в пользе изучения языков на примере своих детей.,I was convinced of the benefits of learning languages on the example of my children.,_,учёба/работа
природа,2382,nature,N.Fem.Inan,A2,"Golosa, LM",1,природы,Gen.Sing,Что каждый из нас может сделать для природы?,What can each of us do for nature?,_,"животные/растения, погода"
природа,2383,nature,N.Fem.Inan,A2,"Golosa, LM",2,природе,Loc.Sing,В природе существует много видов птиц ― около восьми с половиной тысяч.,"In nature, there are many species of birds ― about 8500.",_,"животные/растения, погода"
природа,2384,nature,N.Fem.Inan,A2,"Golosa, LM",3,природа,Nom.Sing,Как красива природа осенью!,How beautiful the nature is in autumn.,_,"животные/растения, погода"
приходить,2385,come,V,A2,"Golosa, MiP, LM",1,приходит,Sing.3.Pres/Fut,Сергей часто приходит к нам домой.,Sergey often comes to our house.,_,"люди, свободное время"
приходить,2386,come,V,A2,"Golosa, MiP, LM",2,приходят,Plur.3.Pres/Fut,В этот музей часто приходят школьники и студенты.,Schoolchildren and university students often come to this museum.,_,"люди, свободное время"
приходить,2387,come,V,A2,"Golosa, MiP, LM",3,приходил,Masc.Sing.Past,Вчера к нам на лекцию приходил профессор из Гарварда.,A Professor from Harvard came to our lecture yesterday.,_,"люди, свободное время"
