Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
трамвай,943,tram,N.Masc.Inan,A1,"MiP, МН",1,трамвай,Acc.Sing,Он сел в трамвай и поехал домой.,He got on the tram and rode home.,_,путешествие
трамвай,944,tram,N.Masc.Inan,A1,"MiP, МН",2,трамвая,Gen.Sing,Я хочу стать водителем трамвая.,I want to become a tram driver.,_,путешествие
трамвай,945,tram,N.Masc.Inan,A1,"MiP, МН",3,трамваи,Nom.Plur,Слишком поздно. Трамваи не ходят.,It's too late. The trams aren't running.,_,путешествие
килограмм,946,kilogram,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,килограмма,Gen.Sing,Я купила два килограмма яблок.,I bought two kilos of apples.,_,мера
килограмм,947,kilogram,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,килограмм,Nom.Sing,Килограмм брокколи стоит сто рублей.,A kilogram of broccoli costs a hundred rubles.,_,мера
килограмм,948,kilogram,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,килограммов,Gen.Plur,Мой рюкзак весит восемь килограммов.,My backpack weights eight kilograms.,_,мера
активный,949,active,A,A1,МН,1,активных,Gen.Plur,Эта работа подходит для активных людей.,This work is suitable for active people.,_,"люди, описание"
активный,950,active,A,A1,МН,2,активную,Acc.Fem.Sing,Аудитория играет активную роль в жизни артиста.,The audience plays an active role in a performert's life.,_,"люди, описание"
активный,951,active,A,A1,МН,3,активной,Gen.Fem.Sing,Маша устала от активной жизни.,Masha got tired of her active life.,_,"люди, описание"
парк,952,park,N.Masc.Inan,A1,"LM, МН",1,парке,Loc.Sing,Моя мама любит гулять в парке вечером.,My mother likes walking in the park in the evening.,_,свободное время
парк,953,park,N.Masc.Inan,A1,"LM, МН",2,парк,Acc.Sing,После школы девочки пошли в парк.,After school the girls went to the park.,_,свободное время
парк,954,park,N.Masc.Inan,A1,"LM, МН",3,парка,Gen.Sing,Фестиваль чая пройдёт на территории Парка Горького.,The Tea Festival will take place on the grounds of Gorky Park.,_,свободное время
бизнесмен,955,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",1,бизнесменов,Gen.Plur,Новый закон защищает интересы бизнесменов.,The new law protects the interests of businessmen.,_,"люди, работа"
бизнесмен,956,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",2,бизнесмен,Nom.Sing,Бизнесмен должен быть честным.,A businessman has to be honest.,_,"люди, работа"
бизнесмен,957,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",3,бизнесмены,Nom.Plur,Российские бизнесмены протестуют против повышения налогов.,Russian businessmen are protesting against a tax increase.,_,"люди, работа"
музей,958,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,музея,Gen.Sing,Работники музея могут посещать выставки бесплатно.,Museum workers can go to the exhibitions for free.,_,свободное время
музей,959,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,музее,Loc.Sing,В этом музее есть скелет синего кита.,There is a skeleton of a blue whale in this museum.,_,свободное время
музей,960,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,музей,Nom.Sing,Музей Москвы был открыт в девятнадцатом веке.,The Moscow Museum opened in the nineteenth century.,_,свободное время
богатый,961,rich,A,A1,"LM, МН",1,богатый,Nom.Masc.Sing,"Саша – богатый человек, но скромный.",Sasha is a rich man but a modest one.,_,"люди, мера"
богатый,962,rich,A,A1,"LM, МН",2,богатых,Gen.Plur,Жизнь в центре города – удовольствие только для богатых людей.,Living in the city centre is a pleasure for rich people only.,_,"люди, мера"
богатый,963,rich,A,A1,"LM, МН",3,богатым,Ins.Masc.Sing,Я совсем не хочу быть богатым.,I don't want to be rich at all.,_,"люди, мера"
экзамен,964,exam,N.Masc.Inan,A1,"LM, МН",1,экзамен,Acc.Sing,Эта группа не сдаст экзамен по химии.,This group won't pass the chemistry exam.,_,учёба/работа
экзамен,965,exam,N.Masc.Inan,A1,"LM, МН",2,экзамены,Acc.Plur,Летом мы сдаём экзамены по всем предметам.,In summer we have exams in all subjects. ,_,учёба/работа
экзамен,966,exam,N.Masc.Inan,A1,"LM, МН",3,экзаменов,Gen.Plur,После экзаменов я собираюсь спать три дня.,After the exams I am going to sleep for three days.,_,учёба/работа
масло,967,butter,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,маслом,Ins.Sing,Он всегда ест хлеб с маслом на завтрак.,He always has bread and butter for breakfast.,_,еда
масло,968,oil,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,масла,Gen.Sing,Нужно добавить в салат больше оливкового масла.,You need to add more olive oil to the salad.,_,еда
масло,969,butter,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,масло,Nom.Sing,"Дома закончилось сливочное масло, нужно купить."," There’s no more butter in the house, we need to buy some.",_,еда
масло,970,,,,,,,,,,,
масло,971,,,,,,,,,,,
масло,972,,,,,,,,,,,
