Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),
год,1,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,лет,Gen.Plur,Ване двадцать пять лет.,Vanya is 25 years old.,_,"мера, время",
год,2,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,года,Gen.Sing,Я не был в театре два года. ,I haven't been to the theatre for 2 years.,_,"мера, время",
год,3,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,году,Loc.Sing,Я родился в 1990 году. ,I was born in 1990.,_,"мера, время",
человек,4,person,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,люди,Nom.Plur,"Я не знаю, кто эти люди. ",I don't know who these people are.,_,люди,
человек,5,person,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,человек,Nom.Sing,Этот человек хорошо играет в шахматы. ,This person plays chess well.,_,люди,
человек,6,person,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,человека,Gen.Sing,Я не знаю этого человека. ,I don't know that person.,_,люди,
брать,7,take,V,A1,"Golosa, MiP, LM, МН, Поехали",1,брать,Imperf.Inf,Он не любит брать деньги в долг. ,He doesn't like to borrow money.,_,"общение, магазин",
брать,8,take,V,A1,"Golosa, MiP, LM, МН, Поехали",2,берёт,Imperf.Sing.3,Она всегда берёт в магазине молоко. ,She always gets milk at the grocery store.,_,"общение, магазин",
брать,9,take,V,A1,"Golosa, MiP, LM, МН, Поехали",3,брали,Imperf.Plur.Past,"Она не была высокой, поэтому её не брали в баскетбольную команду. ","She wasn't tall, so she wasn't chosen for the basketball team.",_,"общение, магазин",
взять,10,take,V,A1,"LM, МН, Поехали",1,взять,Perf.Inf,"На улице дождь, надо взять зонт. ","It's raining outside, we need to take an umbrella.",_,"общение, магазин",
взять,11,take,V,A1,"LM, МН, Поехали",2,взял,Perf.Masc.Sing.Past,"Хорошо, что он взял с собой куртку. На улице холодно. ",Good that he took his coat with him. It's cold outside.,_,"общение, магазин",
взять,12,take,V,A1,"LM, МН, Поехали",3,взяли,Perf.Plur.Past,В Барселону мы взяли самый большой чемодан.,We took the biggest suitcase with us to Barcelona.,_,"общение, магазин",
