Lemma;ID;Eng Gloss;POS;Level;Word source;Ex. ID;Form ;Analysis;Example Sentence;Translation;Reference;Topic(s)
аппетит;1416;_;N.Masc.Inan;A2;MiP, LM;1;аппетит;Acc.Sing;_;_;_;_
аппетит;1417;_;N.Masc.Inan;A2;MiP, LM;2;аппетиты;Nom.Plur;_;_;_;_
аппетит;1418;_;N.Masc.Inan;A2;MiP, LM;3;аппетитом;Ins.Sing;_;_;_;_
багаж;1419;_;N.Masc.Inan;A2;Golosa, MiP, LM, МН;1;багажа;Gen.Sing;_;_;_;_
багаж;1420;_;N.Masc.Inan;A2;Golosa, MiP, LM, МН;2;багаж;Nom.Sing;_;_;_;_
багаж;1421;_;N.Masc.Inan;A2;Golosa, MiP, LM, МН;3;багажом;Ins.Sing;_;_;_;_
бег;1422;_;N.Masc.Inan;A2;LM;1;бегу;Loc.Sing;_;_;_;_
бег;1423;_;N.Masc.Inan;A2;LM;2;бега;Gen.Sing;_;_;_;_
бег;1424;_;N.Masc.Inan;A2;LM;3;беге;Loc.Sing;_;_;_;_
бегать;1425;_;V;A2;Golosa, LM, МН;1;бегали;Plur.Past;_;_;_;_
бегать;1426;_;V;A2;Golosa, LM, МН;2;бегать;Inf;_;_;_;_
бегать;1427;_;V;A2;Golosa, LM, МН;3;бегала;Fem.Sing.Past;_;_;_;_
бежать;1428;_;V;A2;LM;1;бежать;Inf;_;_;_;_
бежать;1429;_;V;A2;LM;2;бежит;Sing.3.Pres/Fut;_;_;_;_
бежать;1430;_;V;A2;LM;3;бежал;Masc.Sing.Past;_;_;_;_
берег;1431;_;N.Masc.Inan;A2;LM;1;берегу;Loc.Sing;_;_;_;_
берег;1432;_;N.Masc.Inan;A2;LM;2;берег;Acc.Sing;_;_;_;_
берег;1433;_;N.Masc.Inan;A2;LM;3;берега;Gen.Sing;_;_;_;_
беречь;1434;_;V;A2;LM;1;беречь;Inf;_;_;_;_
беречь;1435;_;V;A2;LM;2;берёг;Masc.Sing.Past;_;_;_;_
беречь;1436;_;V;A2;LM;3;берегла;Fem.Sing.Past;_;_;_;_
беседовать;1437;_;V;A2;LM;1;беседовали;Plur.Past;_;_;_;_
беседовать;1438;_;V;A2;LM;2;беседуем;Plur.1.Pres/Fut;_;_;_;_
беседовать;1439;_;V;A2;LM;3;беседовать;Inf;_;_;_;_
бесплатный;1440;_;A;A2;LM;1;бесплатного;Gen.Masc.Sing;_;_;_;_
бесплатный;1441;_;A;A2;LM;2;бесплатная;Nom.Fem.Sing;_;_;_;_
бесплатный;1442;_;A;A2;LM;3;бесплатной;Gen.Fem.Sing;_;_;_;_
бесплатный;1443;_;A;A2;Golosa;1;бесплатного;Gen.Masc.Sing;_;_;_;_
бесплатный;1444;_;A;A2;Golosa;2;бесплатная;Nom.Fem.Sing;_;_;_;_
бесплатный;1445;_;A;A2;Golosa;3;бесплатной;Gen.Fem.Sing;_;_;_;_
биография;1446;_;N.Fem.Inan;A2;LM;1;биография;Nom.Sing;_;_;_;_
биография;1447;_;N.Fem.Inan;A2;LM;2;биографии;Gen.Sing;_;_;_;_
биография;1448;_;N.Fem.Inan;A2;LM;3;биографию;Acc.Sing;_;_;_;_
бить;1449;_;V;A2;LM;1;бьёт;Sing.3.Pres/Fut;_;_;_;_
бить;1450;_;V;A2;LM;2;бить;Inf;_;_;_;_
бить;1451;_;V;A2;LM;3;бил;Masc.Sing.Past;_;_;_;_
благодарить;1452;_;V;A2;LM;1;благодарю;Sing.1.Pres/Fut;_;_;_;_
благодарить;1453;_;V;A2;LM;2;благодарит;Sing.3.Pres/Fut;_;_;_;_
благодарить;1454;_;V;A2;LM;3;благодарил;Masc.Sing.Past;_;_;_;_
бог;1455;_;N.Masc.Anim;A2;MiP, LM;1;бог;Nom.Sing;_;_;_;_
бог;1456;_;N.Masc.Anim;A2;MiP, LM;2;богу;Dat.Sing;_;_;_;_
бог;1457;_;N.Masc.Anim;A2;MiP, LM;3;бога;Gen.Sing;_;_;_;_
больница;1458;_;N.Fem.Inan;A2;Golosa, LM;1;больнице;Loc.Sing;_;_;_;_
больница;1459;_;N.Fem.Inan;A2;Golosa, LM;2;больницу;Acc.Sing;_;_;_;_
больница;1460;_;N.Fem.Inan;A2;Golosa, LM;3;больницы;Gen.Sing;_;_;_;_
булочка;1461;_;N.Fem.Inan;A2;Golosa, MiP, LM, МН;1;булочки;Nom.Plur;_;_;_;_
бумага;1462;_;N.Fem.Inan;A2;LM;1;бумаги;Gen.Sing;_;_;_;_
бумага;1463;_;N.Fem.Inan;A2;LM;2;бумагу;Acc.Sing;_;_;_;_
бумага;1464;_;N.Fem.Inan;A2;LM;3;бумаге;Loc.Sing;_;_;_;_
бутерброд;1465;_;N.Masc.Inan;A2;Golosa, MiP, LM, МН;1;бутерброды;Acc.Plur;_;_;_;_
бутерброд;1466;_;N.Masc.Inan;A2;Golosa, MiP, LM, МН;2;бутербродах;Loc.Plur;_;_;_;_
бутерброд;1467;_;N.Masc.Inan;A2;Golosa, MiP, LM, МН;3;бутербродами;Ins.Plur;_;_;_;_
бутылка;1468;_;N.Fem.Inan;A2;Golosa, MiP, LM;1;бутылку;Acc.Sing;_;_;_;_
бутылка;1469;_;N.Fem.Inan;A2;Golosa, MiP, LM;2;бутылки;Gen.Sing;_;_;_;_
бутылка;1470;_;N.Fem.Inan;A2;Golosa, MiP, LM;3;бутылок;Gen.Plur;_;_;_;_
бывать;1471;_;V;A2;Golosa, MiP, LM, МН;1;бывает;Sing.3.Pres/Fut;_;_;_;_
бывать;1472;_;V;A2;Golosa, MiP, LM, МН;2;бывают;Plur.3.Pres/Fut;_;_;_;_
бывать;1473;_;V;A2;Golosa, MiP, LM, МН;3;бывало;Neut.Sing.Past;_;_;_;_
быстрый;1474;_;A;A2;Golosa, LM;1;быстрого;Gen.Neut.Sing;_;_;_;_
быстрый;1475;_;A;A2;Golosa, LM;2;быстрое;Nom.Neut.Sing;_;_;_;_
быстрый;1476;_;A;A2;Golosa, LM;3;быстрой;Gen.Fem.Sing;_;_;_;_
важный;1477;_;A;A2;Golosa, LM;1;важно;Neut.Sing;_;_;_;_
важный;1478;_;A;A2;Golosa, LM;2;важное;Nom.Neut.Sing;_;_;_;_
важный;1479;_;A;A2;Golosa, LM;3;важную;Acc.Fem.Sing;_;_;_;_
варить;1480;_;V;A2;LM;1;варить;Inf;_;_;_;_
варить;1481;_;V;A2;LM;2;варят;Plur.3.Pres/Fut;_;_;_;_
